Compound;Leaves of field-grown plant;Agar-grown culture;Control (non-elicited culture);Ergosterol - 3 days exposure;Ergosterol - control (EtOH) 3 days exposure;Ergosterol - 7 days exposure;Ergosterol - control (EtOH) 7 days exposure;Chitosan - 3 days exposure;Chitosan - control (HCL) 3 days exposure;Chitosan - 7 days exposure;Chitosan - control (HCL) 7 days exposure;YE 50 mg/L - 3 days exposure;YE 50 mg/L - 7 days exposure;YE 100 mg/L - 3 days exposure;YE 100 mg/L - 7 days exposure;;
3-thujene;0.000;0.000;0.403;0.397;0.345;0.402;0.438;0.379;0.396;0.424;0.402;0.425;0.391;0.418;0.372;;
α-pinene;6.701;9.649;9.152;10.006;9.781;11.374;10.281;9.102;9.286;9.164;8.519;9.798;9.150;9.400;10.454;;
camphene;0.394;0.402;0.332;0.366;0.364;0.504;0.380;0.334;0.341;0.314;0.307;0.322;0.303;0.350;0.333;;
β-phellandrene;0.000;0.000;0.408;0.513;0.533;0.513;0.491;0.503;0.487;0.448;0.440;0.566;0.597;0.000;0.544;;
β-pinene;5.550;13.062;12.413;14.673;15.150;15.837;15.152;13.018;13.473;12.590;12.171;14.216;14.756;14.361;14.641;;
β-myrcene;2.191;1.890;1.683;1.352;1.144;1.344;1.508;1.464;1.474;1.827;1.628;1.667;1.678;1.716;1.522;;
α-phellandrene;0.000;0.000;0.150;0.115;0.087;0.110;0.125;0.124;0.126;0.159;0.144;0.159;0.146;0.165;0.140;;
δ-3-carene;2.653;1.034;1.178;1.042;0.933;1.112;1.185;1.159;1.330;1.282;0.224;1.500;1.353;1.374;1.315;;
α-terpinene;0.000;0.451;0.239;0.224;0.202;0.201;0.251;0.234;0.247;0.260;0.248;0.269;0.271;0.270;0.244;;
limonene;0.715;0.613;0.217;0.196;0.163;0.175;0.220;0.178;0.150;0.248;0.213;0.075;0.096;0.128;0.117;;
1.8-cineole;72.744;50.125;52.065;35.471;28.759;37.410;38.265;40.711;42.023;48.396;47.548;44.124;44.320;44.354;38.521;;
γ-terpinene;0.561;0.848;0.683;0.597;0.572;0.589;0.630;0.627;0.639;0.725;0.669;0.687;0.686;0.709;0.636;;
β-cis-terpineol;0.000;0.000;0.169;0.123;0.109;0.131;0.127;0.148;0.137;0.162;0.169;0.148;0.164;0.155;0.127;;
camphor;1.112;1.634;1.723;1.427;1.452;1.697;1.572;1.567;1.551;1.483;1.591;1.433;1.396;1.427;1.396;;
terpinen-4-ol;0.595;0.223;0.306;0.164;0.131;0.145;0.180;0.183;0.212;0.254;0.235;0.218;0.204;0.218;0.249;;
α-terpineol;0.361;0.000;0.371;0.294;0.255;0.290;0.310;0.317;0.296;0.388;0.343;0.346;0.329;0.370;0.317;;
γ-elemene;0.025;0.253;0.144;0.505;0.697;0.342;0.355;0.416;0.381;0.211;0.242;0.376;0.473;0.415;0.559;;
caryophyllene;0.479;3.921;3.625;9.070;11.007;7.373;7.303;7.522;6.455;3.955;4.831;4.762;4.519;4.304;6.287;;
aristolene;0.103;3.200;2.905;5.479;6.420;4.587;4.887;4.924;4.506;3.426;3.850;4.030;4.285;4.157;4.987;;
β-guaine;0.025;0.461;0.387;0.747;1.001;0.635;0.694;0.677;0.619;0.310;0.511;0.511;0.577;0.535;0.660;;
α-humullene;0.035;0.246;0.345;0.774;1.013;0.623;0.678;0.682;0.593;0.382;0.454;0.452;0.455;0.428;0.576;;
α-muurolen;0.040;0.245;0.534;1.034;1.299;0.825;0.964;0.919;0.830;0.629;0.712;0.705;0.724;0.691;0.829;;
cadinane;0.182;1.031;0.123;0.255;0.284;0.113;0.189;0.211;0.211;0.146;0.159;0.219;0.228;0.238;0.292;;
eudesmene;0.000;0.000;0.111;0.210;0.246;0.175;0.194;0.183;0.164;0.129;0.148;0.145;0.150;0.169;0.163;;
β-bisabolene;0.099;0.260;0.698;2.517;2.871;1.969;2.226;2.296;1.883;1.353;0.771;1.526;1.700;1.770;1.901;;
γ-selinene;0.034;0.243;0.136;0.217;0.290;0.183;0.220;0.226;0.187;0.151;0.169;0.153;0.152;0.143;0.171;;
4-epi-cubebol;0.087;0.165;0.134;0.184;0.245;0.167;0.178;0.194;0.157;0.149;0.166;0.140;0.120;0.122;0.159;;
cubedol;0.106;0.084;0.156;0.245;0.238;0.246;0.192;0.224;0.173;0.184;0.189;0.160;0.146;0.159;0.183;;
caryophyllene oxide;0.174;0.258;0.464;0.750;0.494;0.661;0.674;0.590;0.465;0.467;0.559;0.279;0.191;0.225;0.353;;
α-bisabolol;0.498;2.132;2.060;3.486;3.931;2.867;3.073;3.492;2.978;2.501;2.713;2.713;2.606;2.833;3.260;;
ferruginol;0.087;1.914;1.302;1.546;2.179;2.322;2.185;2.223;2.225;2.247;2.189;2.553;2.720;2.763;2.219;;
